label,target_pass,wilson_pass,min_test_accuracy,min_test_coverage,min_test_wilson,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_gross_pnl_cents,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_gross_pnl_cents,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_gross_pnl_cents,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_gross_pnl_cents
no blocker,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,131,115,16,0.8778625954198473,0.8397435897435898,0.8107911499346616,-32.0,93,77,68,9,0.8831168831168831,0.8279569892473119,0.7925491643206027,14.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block adverse_move_3m>=10,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,130,114,16,0.8769230769230769,0.8333333333333334,0.8094058911768179,-50.0,93,76,67,9,0.881578947368421,0.8172043010752689,0.7900078224920806,-4.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block adverse_move_5m>=20,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,130,114,16,0.8769230769230769,0.8333333333333334,0.8094058911768179,-38.0,93,76,67,9,0.881578947368421,0.8172043010752689,0.7900078224920806,8.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block adverse_move_3m>=5,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,129,113,16,0.875968992248062,0.8269230769230769,0.8080002352347273,-68.0,93,75,66,9,0.88,0.8064516129032258,0.7874035979525127,-22.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block adverse_move_15m>=50,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,129,113,16,0.875968992248062,0.8269230769230769,0.8080002352347273,-51.0,93,75,66,9,0.88,0.8064516129032258,0.7874035979525127,-5.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block adverse_move_3m>=10 OR block adverse_move_5m>=20,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,129,113,16,0.875968992248062,0.8269230769230769,0.8080002352347273,-56.0,93,75,66,9,0.88,0.8064516129032258,0.7874035979525127,-10.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block margin_per_rv_sigma_30m<=0.5,False,False,0.8620689655172413,0.75,0.6899611872949993,156,129,113,16,0.875968992248062,0.8269230769230769,0.8080002352347273,-65.0,93,76,67,9,0.881578947368421,0.8172043010752689,0.7900078224920806,-1.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,24,21,3,0.875,0.75,0.6899611872949993,-6.0
block adverse_move_15m>=35,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,128,112,16,0.875,0.8205128205128205,0.8065737291824853,-67.0,93,74,65,9,0.8783783783783784,0.7956989247311828,0.7847341343323125,-21.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block adverse_move_3m>=5 OR block adverse_move_5m>=20,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,128,112,16,0.875,0.8205128205128205,0.8065737291824853,-74.0,93,74,65,9,0.8783783783783784,0.7956989247311828,0.7847341343323125,-28.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block adverse_move_3m>=10 OR block adverse_move_15m>=50,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,128,112,16,0.875,0.8205128205128205,0.8065737291824853,-69.0,93,74,65,9,0.8783783783783784,0.7956989247311828,0.7847341343323125,-23.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block adverse_move_5m>=20 OR block adverse_move_15m>=50,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,128,112,16,0.875,0.8205128205128205,0.8065737291824853,-57.0,93,74,65,9,0.8783783783783784,0.7956989247311828,0.7847341343323125,-11.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block margin_per_rv_sigma_30m<=0.5 OR block adverse_move_3m>=10,False,False,0.8620689655172413,0.75,0.6899611872949993,156,128,112,16,0.875,0.8205128205128205,0.8065737291824853,-83.0,93,75,66,9,0.88,0.8064516129032258,0.7874035979525127,-19.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,24,21,3,0.875,0.75,0.6899611872949993,-6.0
block margin_per_rv_sigma_30m<=0.5 OR block adverse_move_5m>=20,False,False,0.8620689655172413,0.75,0.6899611872949993,156,128,112,16,0.875,0.8205128205128205,0.8065737291824853,-71.0,93,75,66,9,0.88,0.8064516129032258,0.7874035979525127,-7.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,24,21,3,0.875,0.75,0.6899611872949993,-6.0
block adverse_move_3m>=5 OR block adverse_move_15m>=50,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,127,111,16,0.8740157480314961,0.8141025641025641,0.8051259066159591,-87.0,93,73,64,9,0.8767123287671232,0.7849462365591398,0.7819969564497797,-41.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block adverse_move_3m>=10 OR block adverse_move_15m>=35,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,127,111,16,0.8740157480314961,0.8141025641025641,0.8051259066159591,-85.0,93,73,64,9,0.8767123287671232,0.7849462365591398,0.7819969564497797,-39.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block adverse_move_5m>=20 OR block adverse_move_15m>=35,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,127,111,16,0.8740157480314961,0.8141025641025641,0.8051259066159591,-73.0,93,73,64,9,0.8767123287671232,0.7849462365591398,0.7819969564497797,-27.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block margin_per_rv_sigma_30m<=0.5 OR block adverse_move_3m>=5,False,False,0.8620689655172413,0.75,0.6899611872949993,156,127,111,16,0.8740157480314961,0.8141025641025641,0.8051259066159591,-101.0,93,74,65,9,0.8783783783783784,0.7956989247311828,0.7847341343323125,-37.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,24,21,3,0.875,0.75,0.6899611872949993,-6.0
block margin_per_rv_sigma_30m<=0.5 OR block adverse_move_15m>=50,False,False,0.8620689655172413,0.75,0.6899611872949993,156,127,111,16,0.8740157480314961,0.8141025641025641,0.8051259066159591,-84.0,93,74,65,9,0.8783783783783784,0.7956989247311828,0.7847341343323125,-20.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,24,21,3,0.875,0.75,0.6899611872949993,-6.0
block adverse_move_3m>=5 OR block adverse_move_15m>=35,False,False,0.8620689655172413,0.78125,0.6944100627964797,156,126,110,16,0.873015873015873,0.8076923076923077,0.803656287149039,-103.0,93,72,63,9,0.875,0.7741935483870968,0.7791894627583917,-57.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block margin_per_rv_sigma_30m<=0.5 OR block adverse_move_15m>=35,False,False,0.8620689655172413,0.75,0.6899611872949993,156,126,110,16,0.873015873015873,0.8076923076923077,0.803656287149039,-100.0,93,73,64,9,0.8767123287671232,0.7849462365591398,0.7819969564497797,-36.0,31,29,25,4,0.8620689655172413,0.9354838709677419,0.6944100627964797,-58.0,32,24,21,3,0.875,0.75,0.6899611872949993,-6.0
block brownian_p_rv_15m>=0.95 OR block adverse_move_5m>=5,False,False,0.8571428571428571,0.75,0.685101978364747,156,127,112,15,0.8818897637795275,0.8141025641025641,0.8142522754298047,38.0,93,75,67,8,0.8933333333333333,0.8064516129032258,0.8033863715352692,94.0,31,28,24,4,0.8571428571428571,0.9032258064516129,0.685101978364747,-63.0,32,24,21,3,0.875,0.75,0.6899611872949993,7.0
block adverse_move_5m>=5 OR block adverse_move_15m>=20,False,False,0.8571428571428571,0.78125,0.685101978364747,156,125,110,15,0.88,0.8012820512820513,0.8114261894188213,-5.0,93,72,64,8,0.8888888888888888,0.7741935483870968,0.7957706176633595,59.0,31,28,24,4,0.8571428571428571,0.9032258064516129,0.685101978364747,-76.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block brownian_p_rv_15m>=0.95,False,False,0.8571428571428571,0.75,0.685101978364747,156,129,113,16,0.875968992248062,0.8269230769230769,0.8080002352347273,-42.0,93,77,68,9,0.8831168831168831,0.8279569892473119,0.7925491643206027,14.0,31,28,24,4,0.8571428571428571,0.9032258064516129,0.685101978364747,-63.0,32,24,21,3,0.875,0.75,0.6899611872949993,7.0
block brownian_p_rv_15m>=0.95 OR block adverse_move_3m>=10,False,False,0.8571428571428571,0.75,0.685101978364747,156,128,112,16,0.875,0.8205128205128205,0.8065737291824853,-60.0,93,76,67,9,0.881578947368421,0.8172043010752689,0.7900078224920806,-4.0,31,28,24,4,0.8571428571428571,0.9032258064516129,0.685101978364747,-63.0,32,24,21,3,0.875,0.75,0.6899611872949993,7.0
block brownian_p_rv_15m>=0.95 OR block adverse_move_5m>=20,False,False,0.8571428571428571,0.75,0.685101978364747,156,128,112,16,0.875,0.8205128205128205,0.8065737291824853,-48.0,93,76,67,9,0.881578947368421,0.8172043010752689,0.7900078224920806,8.0,31,28,24,4,0.8571428571428571,0.9032258064516129,0.685101978364747,-63.0,32,24,21,3,0.875,0.75,0.6899611872949993,7.0
block adverse_move_15m>=20,False,False,0.8571428571428571,0.78125,0.685101978364747,156,127,111,16,0.8740157480314961,0.8141025641025641,0.8051259066159591,-85.0,93,74,65,9,0.8783783783783784,0.7956989247311828,0.7847341343323125,-21.0,31,28,24,4,0.8571428571428571,0.9032258064516129,0.685101978364747,-76.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block brownian_p_rv_15m>=0.95 OR block adverse_move_3m>=5,False,False,0.8571428571428571,0.75,0.685101978364747,156,127,111,16,0.8740157480314961,0.8141025641025641,0.8051259066159591,-78.0,93,75,66,9,0.88,0.8064516129032258,0.7874035979525127,-22.0,31,28,24,4,0.8571428571428571,0.9032258064516129,0.685101978364747,-63.0,32,24,21,3,0.875,0.75,0.6899611872949993,7.0
block brownian_p_rv_15m>=0.95 OR block adverse_move_15m>=50,False,False,0.8571428571428571,0.75,0.685101978364747,156,127,111,16,0.8740157480314961,0.8141025641025641,0.8051259066159591,-61.0,93,75,66,9,0.88,0.8064516129032258,0.7874035979525127,-5.0,31,28,24,4,0.8571428571428571,0.9032258064516129,0.685101978364747,-63.0,32,24,21,3,0.875,0.75,0.6899611872949993,7.0
block brownian_p_rv_15m>=0.95 OR block margin_per_rv_sigma_30m<=0.5,False,False,0.8571428571428571,0.71875,0.6787251772990404,156,127,111,16,0.8740157480314961,0.8141025641025641,0.8051259066159591,-75.0,93,76,67,9,0.881578947368421,0.8172043010752689,0.7900078224920806,-1.0,31,28,24,4,0.8571428571428571,0.9032258064516129,0.685101978364747,-63.0,32,23,20,3,0.8695652173913043,0.71875,0.6787251772990404,-11.0
block adverse_move_3m>=10 OR block adverse_move_15m>=20,False,False,0.8571428571428571,0.78125,0.685101978364747,156,126,110,16,0.873015873015873,0.8076923076923077,0.803656287149039,-103.0,93,73,64,9,0.8767123287671232,0.7849462365591398,0.7819969564497797,-39.0,31,28,24,4,0.8571428571428571,0.9032258064516129,0.685101978364747,-76.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block adverse_move_5m>=20 OR block adverse_move_15m>=20,False,False,0.8571428571428571,0.78125,0.685101978364747,156,126,110,16,0.873015873015873,0.8076923076923077,0.803656287149039,-91.0,93,73,64,9,0.8767123287671232,0.7849462365591398,0.7819969564497797,-27.0,31,28,24,4,0.8571428571428571,0.9032258064516129,0.685101978364747,-76.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block brownian_p_rv_15m>=0.95 OR block adverse_move_15m>=35,False,False,0.8571428571428571,0.75,0.685101978364747,156,126,110,16,0.873015873015873,0.8076923076923077,0.803656287149039,-77.0,93,74,65,9,0.8783783783783784,0.7956989247311828,0.7847341343323125,-21.0,31,28,24,4,0.8571428571428571,0.9032258064516129,0.685101978364747,-63.0,32,24,21,3,0.875,0.75,0.6899611872949993,7.0
block adverse_move_3m>=5 OR block adverse_move_15m>=20,False,False,0.8571428571428571,0.78125,0.685101978364747,156,125,109,16,0.872,0.8012820512820513,0.8021643758872009,-121.0,93,72,63,9,0.875,0.7741935483870968,0.7791894627583917,-57.0,31,28,24,4,0.8571428571428571,0.9032258064516129,0.685101978364747,-76.0,32,25,22,3,0.88,0.78125,0.7004420607907267,12.0
block margin_per_rv_sigma_30m<=0.5 OR block adverse_move_15m>=20,False,False,0.8571428571428571,0.75,0.685101978364747,156,125,109,16,0.872,0.8012820512820513,0.8021643758872009,-118.0,93,73,64,9,0.8767123287671232,0.7849462365591398,0.7819969564497797,-36.0,31,28,24,4,0.8571428571428571,0.9032258064516129,0.685101978364747,-76.0,32,24,21,3,0.875,0.75,0.6899611872949993,-6.0
block brownian_p_rv_30m>=0.95,False,False,0.8518518518518519,0.75,0.6752131457218702,156,125,109,16,0.872,0.8012820512820513,0.8021643758872009,-65.0,93,74,65,9,0.8783783783783784,0.7956989247311828,0.7847341343323125,-4.0,31,27,23,4,0.8518518518518519,0.8709677419354839,0.6752131457218702,-68.0,32,24,21,3,0.875,0.75,0.6899611872949993,7.0
block brownian_p_rv_15m>=0.95 OR block brownian_p_rv_30m>=0.95,False,False,0.8518518518518519,0.75,0.6752131457218702,156,125,109,16,0.872,0.8012820512820513,0.8021643758872009,-65.0,93,74,65,9,0.8783783783783784,0.7956989247311828,0.7847341343323125,-4.0,31,27,23,4,0.8518518518518519,0.8709677419354839,0.6752131457218702,-68.0,32,24,21,3,0.875,0.75,0.6899611872949993,7.0
block brownian_p_rv_15m>=0.95 OR block adverse_move_15m>=20,False,False,0.8518518518518519,0.75,0.6752131457218702,156,125,109,16,0.872,0.8012820512820513,0.8021643758872009,-95.0,93,74,65,9,0.8783783783783784,0.7956989247311828,0.7847341343323125,-21.0,31,27,23,4,0.8518518518518519,0.8709677419354839,0.6752131457218702,-81.0,32,24,21,3,0.875,0.75,0.6899611872949993,7.0
