label,chooser,min_score,ask_max,min_seconds_to_close,gate,current_target_pass,v21_target_pass,both_target_pass,both_wilson_pass,both_coverage_pass,nondegenerate,min_split_accuracy,min_all_accuracy,min_all_coverage,min_all_wilson,max_median_ask,current_all_base_markets,current_all_markets,current_all_wins,current_all_losses,current_all_accuracy,current_all_coverage,current_all_wilson95_lower,current_all_median_ask,current_all_ask_ge_95,current_all_ask_eq_100,current_all_median_seconds_to_close,current_train_base_markets,current_train_markets,current_train_wins,current_train_losses,current_train_accuracy,current_train_coverage,current_train_wilson95_lower,current_train_median_ask,current_train_ask_ge_95,current_train_ask_eq_100,current_train_median_seconds_to_close,current_validation_base_markets,current_validation_markets,current_validation_wins,current_validation_losses,current_validation_accuracy,current_validation_coverage,current_validation_wilson95_lower,current_validation_median_ask,current_validation_ask_ge_95,current_validation_ask_eq_100,current_validation_median_seconds_to_close,current_holdout_base_markets,current_holdout_markets,current_holdout_wins,current_holdout_losses,current_holdout_accuracy,current_holdout_coverage,current_holdout_wilson95_lower,current_holdout_median_ask,current_holdout_ask_ge_95,current_holdout_ask_eq_100,current_holdout_median_seconds_to_close,v21_all_base_markets,v21_all_markets,v21_all_wins,v21_all_losses,v21_all_accuracy,v21_all_coverage,v21_all_wilson95_lower,v21_all_median_ask,v21_all_ask_ge_95,v21_all_ask_eq_100,v21_all_median_seconds_to_close,v21_train_base_markets,v21_train_markets,v21_train_wins,v21_train_losses,v21_train_accuracy,v21_train_coverage,v21_train_wilson95_lower,v21_train_median_ask,v21_train_ask_ge_95,v21_train_ask_eq_100,v21_train_median_seconds_to_close,v21_validation_base_markets,v21_validation_markets,v21_validation_wins,v21_validation_losses,v21_validation_accuracy,v21_validation_coverage,v21_validation_wilson95_lower,v21_validation_median_ask,v21_validation_ask_ge_95,v21_validation_ask_eq_100,v21_validation_median_seconds_to_close,v21_holdout_base_markets,v21_holdout_markets,v21_holdout_wins,v21_holdout_losses,v21_holdout_accuracy,v21_holdout_coverage,v21_holdout_wilson95_lower,v21_holdout_median_ask,v21_holdout_ask_ge_95,v21_holdout_ask_eq_100,v21_holdout_median_seconds_to_close
choose=score_regime_blend; score_regime_blend>=0.8; ask<=95; sec_to_close>=120; spread<=4,score_regime_blend,0.8,95.0,120.0,spread<=4,False,False,False,False,True,True,0.8181818181818182,0.8299319727891157,0.8778280542986425,0.7609894313410643,83.0,159,147,122,25,0.8299319727891157,0.9245283018867925,0.7609894313410643,83.0,3,0,561.798,95,88,72,16,0.8181818181818182,0.9263157894736842,0.7248774097917623,82.0,2,0,586.3975,32,31,26,5,0.8387096774193549,0.96875,0.6736564604120674,83.0,1,0,507.853,32,28,24,4,0.8571428571428571,0.875,0.685101978364747,83.0,0,0,573.575,221,194,165,29,0.8505154639175257,0.8778280542986425,0.7935601983403645,83.0,3,0,539.8282745,132,117,96,21,0.8205128205128205,0.8863636363636364,0.741146913021092,83.0,1,0,599.231457,44,41,37,4,0.9024390243902439,0.9318181818181818,0.7745231869447661,83.0,2,0,539.605619,45,36,32,4,0.8888888888888888,0.8,0.7468519140963513,83.5,0,0,569.4155430000001
choose=score_regime_blend; score_regime_blend>=0.8; ask<=95; sec_to_close>=120; margin_rv15>=0,score_regime_blend,0.8,95.0,120.0,margin_rv15>=0,False,False,False,False,True,True,0.8181818181818182,0.8299319727891157,0.8778280542986425,0.7609894313410643,83.0,159,147,122,25,0.8299319727891157,0.9245283018867925,0.7609894313410643,83.0,3,0,561.798,95,88,72,16,0.8181818181818182,0.9263157894736842,0.7248774097917623,82.0,2,0,586.3975,32,31,26,5,0.8387096774193549,0.96875,0.6736564604120674,83.0,1,0,507.853,32,28,24,4,0.8571428571428571,0.875,0.685101978364747,83.0,0,0,573.575,221,194,165,29,0.8505154639175257,0.8778280542986425,0.7935601983403645,83.0,3,0,539.8282745,132,117,96,21,0.8205128205128205,0.8863636363636364,0.741146913021092,83.0,1,0,599.231457,44,41,37,4,0.9024390243902439,0.9318181818181818,0.7745231869447661,83.0,2,0,539.605619,45,36,32,4,0.8888888888888888,0.8,0.7468519140963513,83.5,0,0,569.4155430000001
choose=score_regime_blend; score_regime_blend>=0.8; ask<=95; sec_to_close>=60,score_regime_blend,0.8,95.0,60.0,none,False,False,False,False,True,True,0.8145161290322581,0.8355263157894737,0.9230769230769231,0.7684693638513513,83.0,159,152,127,25,0.8355263157894737,0.9559748427672956,0.7684693638513513,83.0,4,0,551.207,95,91,75,16,0.8241758241758241,0.9578947368421052,0.7333161024339296,82.0,3,0,585.934,32,32,27,5,0.84375,1.0,0.6824585040246961,83.0,1,0,490.9155,32,29,25,4,0.8620689655172413,0.90625,0.6944100627964797,83.0,0,0,559.117,221,204,171,33,0.8382352941176471,0.9230769230769231,0.7815331498214025,83.0,3,0,539.6057515,132,124,101,23,0.8145161290322581,0.9393939393939394,0.7370282322179024,83.0,1,0,539.675858,44,42,37,5,0.8809523809523809,0.9545454545454546,0.7499960973799031,83.5,2,0,539.5859355,45,38,33,5,0.868421052631579,0.8444444444444444,0.7267314055770868,84.0,0,0,539.37492
choose=score_regime_blend; score_regime_blend>=0.8; ask<=95; sec_to_close>=60; adverse15<=10_or_margin_rv15>=0.5,score_regime_blend,0.8,95.0,60.0,adverse15<=10_or_margin_rv15>=0.5,False,False,False,False,True,True,0.8145161290322581,0.8355263157894737,0.9230769230769231,0.7684693638513513,83.0,159,152,127,25,0.8355263157894737,0.9559748427672956,0.7684693638513513,83.0,4,0,542.4304999999999,95,91,75,16,0.8241758241758241,0.9578947368421052,0.7333161024339296,83.0,3,0,585.493,32,32,27,5,0.84375,1.0,0.6824585040246961,83.0,1,0,490.9155,32,29,25,4,0.8620689655172413,0.90625,0.6944100627964797,83.0,0,0,559.117,221,204,171,33,0.8382352941176471,0.9230769230769231,0.7815331498214025,83.0,3,0,539.6057515,132,124,101,23,0.8145161290322581,0.9393939393939394,0.7370282322179024,83.0,1,0,539.675858,44,42,37,5,0.8809523809523809,0.9545454545454546,0.7499960973799031,83.5,2,0,539.5859355,45,38,33,5,0.868421052631579,0.8444444444444444,0.7267314055770868,84.0,0,0,539.37492
choose=score_regime_blend; score_regime_blend>=0.8; ask<=95; sec_to_close>=60; brownian15>=0.55_and_brownian30>=0.55,score_regime_blend,0.8,95.0,60.0,brownian15>=0.55_and_brownian30>=0.55,False,False,False,False,True,True,0.8145161290322581,0.8355263157894737,0.9230769230769231,0.7684693638513513,83.0,159,152,127,25,0.8355263157894737,0.9559748427672956,0.7684693638513513,83.0,4,0,551.207,95,91,75,16,0.8241758241758241,0.9578947368421052,0.7333161024339296,82.0,3,0,585.934,32,32,27,5,0.84375,1.0,0.6824585040246961,83.0,1,0,490.9155,32,29,25,4,0.8620689655172413,0.90625,0.6944100627964797,83.0,0,0,559.117,221,204,171,33,0.8382352941176471,0.9230769230769231,0.7815331498214025,83.0,3,0,539.6057515,132,124,101,23,0.8145161290322581,0.9393939393939394,0.7370282322179024,83.0,1,0,539.675858,44,42,37,5,0.8809523809523809,0.9545454545454546,0.7499960973799031,83.5,2,0,539.5859355,45,38,33,5,0.868421052631579,0.8444444444444444,0.7267314055770868,84.0,0,0,539.37492
choose=score_regime_blend; score_regime_blend>=0.8; ask<=95; sec_to_close>=60; spread<=4,score_regime_blend,0.8,95.0,60.0,spread<=4,False,False,False,False,True,True,0.8145161290322581,0.8355263157894737,0.9230769230769231,0.7684693638513513,83.0,159,152,127,25,0.8355263157894737,0.9559748427672956,0.7684693638513513,83.0,4,0,551.207,95,91,75,16,0.8241758241758241,0.9578947368421052,0.7333161024339296,82.0,3,0,585.934,32,32,27,5,0.84375,1.0,0.6824585040246961,83.0,1,0,490.9155,32,29,25,4,0.8620689655172413,0.90625,0.6944100627964797,83.0,0,0,559.117,221,204,171,33,0.8382352941176471,0.9230769230769231,0.7815331498214025,83.0,3,0,539.6057515,132,124,101,23,0.8145161290322581,0.9393939393939394,0.7370282322179024,83.0,1,0,539.675858,44,42,37,5,0.8809523809523809,0.9545454545454546,0.7499960973799031,83.5,2,0,539.5859355,45,38,33,5,0.868421052631579,0.8444444444444444,0.7267314055770868,84.0,0,0,539.37492
choose=score_regime_blend; score_regime_blend>=0.8; ask<=95; sec_to_close>=60; margin_rv15>=0,score_regime_blend,0.8,95.0,60.0,margin_rv15>=0,False,False,False,False,True,True,0.8145161290322581,0.8355263157894737,0.9230769230769231,0.7684693638513513,83.0,159,152,127,25,0.8355263157894737,0.9559748427672956,0.7684693638513513,83.0,4,0,551.207,95,91,75,16,0.8241758241758241,0.9578947368421052,0.7333161024339296,82.0,3,0,585.934,32,32,27,5,0.84375,1.0,0.6824585040246961,83.0,1,0,490.9155,32,29,25,4,0.8620689655172413,0.90625,0.6944100627964797,83.0,0,0,559.117,221,204,171,33,0.8382352941176471,0.9230769230769231,0.7815331498214025,83.0,3,0,539.6057515,132,124,101,23,0.8145161290322581,0.9393939393939394,0.7370282322179024,83.0,1,0,539.675858,44,42,37,5,0.8809523809523809,0.9545454545454546,0.7499960973799031,83.5,2,0,539.5859355,45,38,33,5,0.868421052631579,0.8444444444444444,0.7267314055770868,84.0,0,0,539.37492
choose=score_regime_blend; score_regime_blend>=0.8; ask<=90; sec_to_close>=60,score_regime_blend,0.8,90.0,60.0,none,False,False,False,False,True,True,0.8072289156626506,0.8188405797101449,0.8235294117647058,0.746236436410332,83.0,159,138,113,25,0.8188405797101449,0.8679245283018868,0.746236436410332,82.0,0,0,587.167,95,83,67,16,0.8072289156626506,0.8736842105263158,0.7095661283535466,81.0,0,0,596.931,32,28,23,5,0.8214285714285714,0.875,0.6440857521065705,82.5,0,0,524.7270000000001,32,27,23,4,0.8518518518518519,0.84375,0.6752131457218702,83.0,0,0,588.033,221,182,154,28,0.8461538461538461,0.8235294117647058,0.7866340668788138,83.0,0,0,599.2646225,132,109,89,20,0.8165137614678899,0.8257575757575758,0.7335141271930766,82.0,0,0,599.342346,44,37,33,4,0.8918918918918919,0.8409090909090909,0.7529146845587399,83.0,0,0,599.249571,45,36,32,4,0.8888888888888888,0.8,0.7468519140963513,83.5,0,0,569.4155430000001
choose=score_regime_blend; score_regime_blend>=0.8; ask<=90; sec_to_close>=60; brownian15>=0.55_and_brownian30>=0.55,score_regime_blend,0.8,90.0,60.0,brownian15>=0.55_and_brownian30>=0.55,False,False,False,False,True,True,0.8072289156626506,0.8188405797101449,0.8235294117647058,0.746236436410332,83.0,159,138,113,25,0.8188405797101449,0.8679245283018868,0.746236436410332,82.0,0,0,587.167,95,83,67,16,0.8072289156626506,0.8736842105263158,0.7095661283535466,81.0,0,0,596.931,32,28,23,5,0.8214285714285714,0.875,0.6440857521065705,82.5,0,0,524.7270000000001,32,27,23,4,0.8518518518518519,0.84375,0.6752131457218702,83.0,0,0,588.033,221,182,154,28,0.8461538461538461,0.8235294117647058,0.7866340668788138,83.0,0,0,599.2646225,132,109,89,20,0.8165137614678899,0.8257575757575758,0.7335141271930766,82.0,0,0,599.342346,44,37,33,4,0.8918918918918919,0.8409090909090909,0.7529146845587399,83.0,0,0,599.249571,45,36,32,4,0.8888888888888888,0.8,0.7468519140963513,83.5,0,0,569.4155430000001
choose=score_regime_blend; score_regime_blend>=0.8; ask<=90; sec_to_close>=60; spread<=4,score_regime_blend,0.8,90.0,60.0,spread<=4,False,False,False,False,True,True,0.8072289156626506,0.8188405797101449,0.8235294117647058,0.746236436410332,83.0,159,138,113,25,0.8188405797101449,0.8679245283018868,0.746236436410332,82.0,0,0,587.167,95,83,67,16,0.8072289156626506,0.8736842105263158,0.7095661283535466,81.0,0,0,596.931,32,28,23,5,0.8214285714285714,0.875,0.6440857521065705,82.5,0,0,524.7270000000001,32,27,23,4,0.8518518518518519,0.84375,0.6752131457218702,83.0,0,0,588.033,221,182,154,28,0.8461538461538461,0.8235294117647058,0.7866340668788138,83.0,0,0,599.2646225,132,109,89,20,0.8165137614678899,0.8257575757575758,0.7335141271930766,82.0,0,0,599.342346,44,37,33,4,0.8918918918918919,0.8409090909090909,0.7529146845587399,83.0,0,0,599.249571,45,36,32,4,0.8888888888888888,0.8,0.7468519140963513,83.5,0,0,569.4155430000001
choose=score_regime_blend; score_regime_blend>=0.8; ask<=90; sec_to_close>=60; margin_rv15>=0,score_regime_blend,0.8,90.0,60.0,margin_rv15>=0,False,False,False,False,True,True,0.8072289156626506,0.8188405797101449,0.8235294117647058,0.746236436410332,83.0,159,138,113,25,0.8188405797101449,0.8679245283018868,0.746236436410332,82.0,0,0,587.167,95,83,67,16,0.8072289156626506,0.8736842105263158,0.7095661283535466,81.0,0,0,596.931,32,28,23,5,0.8214285714285714,0.875,0.6440857521065705,82.5,0,0,524.7270000000001,32,27,23,4,0.8518518518518519,0.84375,0.6752131457218702,83.0,0,0,588.033,221,182,154,28,0.8461538461538461,0.8235294117647058,0.7866340668788138,83.0,0,0,599.2646225,132,109,89,20,0.8165137614678899,0.8257575757575758,0.7335141271930766,82.0,0,0,599.342346,44,37,33,4,0.8918918918918919,0.8409090909090909,0.7529146845587399,83.0,0,0,599.249571,45,36,32,4,0.8888888888888888,0.8,0.7468519140963513,83.5,0,0,569.4155430000001
choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=60,book_p_side,0.8,95.0,60.0,none,False,False,False,False,True,True,0.8064516129032258,0.8535031847133758,0.9276018099547512,0.7897649957763438,85.0,159,157,134,23,0.8535031847133758,0.9874213836477987,0.7897649957763438,84.0,2,0,527.625,95,94,81,13,0.8617021276595744,0.9894736842105263,0.7776396834531167,84.0,0,0,538.752,32,32,28,4,0.875,1.0,0.7193169451834978,84.5,2,0,431.48,32,31,25,6,0.8064516129032258,0.96875,0.6371974218820453,83.0,0,0,559.117,221,205,179,26,0.8731707317073171,0.9276018099547512,0.8206540870299986,85.0,3,0,479.807311,132,123,106,17,0.8617886178861789,0.9318181818181818,0.789779783478678,85.0,2,0,479.79949,44,42,37,5,0.8809523809523809,0.9545454545454546,0.7499960973799031,85.0,1,0,539.5859355,45,40,36,4,0.9,0.8888888888888888,0.769482247724777,85.0,0,0,479.429585
choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=60; spread<=4,book_p_side,0.8,95.0,60.0,spread<=4,False,False,False,False,True,True,0.8064516129032258,0.8535031847133758,0.9276018099547512,0.7897649957763438,85.0,159,157,134,23,0.8535031847133758,0.9874213836477987,0.7897649957763438,84.0,2,0,527.625,95,94,81,13,0.8617021276595744,0.9894736842105263,0.7776396834531167,84.0,0,0,538.752,32,32,28,4,0.875,1.0,0.7193169451834978,84.5,2,0,431.48,32,31,25,6,0.8064516129032258,0.96875,0.6371974218820453,83.0,0,0,559.117,221,205,179,26,0.8731707317073171,0.9276018099547512,0.8206540870299986,85.0,3,0,479.807311,132,123,106,17,0.8617886178861789,0.9318181818181818,0.789779783478678,85.0,2,0,479.79949,44,42,37,5,0.8809523809523809,0.9545454545454546,0.7499960973799031,85.0,1,0,539.5859355,45,40,36,4,0.9,0.8888888888888888,0.769482247724777,85.0,0,0,479.429585
