policy,base_name,label,current_all_net_pnl_cents,v21_all_net_pnl_cents,combined_all_net_pnl_cents,combined_oos_net_pnl_cents,min_split_coverage,current_all_accuracy,v21_all_accuracy,current_touch_preempts,v21_touch_preempts,all_splits_positive,oos_positive,min_positive_block_rate,worst_block_net_cents,strict_pass
p80_ask90_sec0_baseline,p80_ask90_sec0,choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0,117.0,348.0,465.0,299.0,0.8181818181818182,0.8562091503267973,0.8797814207650273,0,0,False,False,0.5,-210.0,False
p80_ask90_sec0_touch_preempt_book1_touch0.5_ask60_age180,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=1, touch>=0.5, touch_ask<=60, age<=180s",-839.0,348.0,-491.0,-35.0,0.8181818181818182,0.8071895424836601,0.8797814207650273,21,0,False,False,0.38461538461538464,-212.0,False
p80_ask95_sec120_touch_preempt_book0.9_touch0.5_ask55_age900,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.9, touch>=0.5, touch_ask<=55, age<=900s",-1750.0,503.0,-1247.0,-43.0,0.8409090909090909,0.7647058823529411,0.890625,32,3,False,False,0.46153846153846156,-542.0,False
p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age900,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=1, touch>=0.5, touch_ask<=55, age<=900s",-1750.0,439.0,-1311.0,-43.0,0.8409090909090909,0.7647058823529411,0.8854166666666666,32,4,False,False,0.46153846153846156,-542.0,False
p80_ask95_sec120_touch_preempt_book0.85_touch0.5_ask55_age300,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=55, age<=300s",-883.0,436.0,-447.0,-44.0,0.8409090909090909,0.8071895424836601,0.890625,19,1,False,False,0.46153846153846156,-287.0,False
p80_ask95_sec120_touch_preempt_book0.85_touch0.5_ask55_age600,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=55, age<=600s",-1022.0,436.0,-586.0,-44.0,0.8409090909090909,0.8006535947712419,0.890625,21,1,False,False,0.46153846153846156,-287.0,False
p80_ask95_sec120_touch_preempt_book0.85_touch0.5_ask55_age900,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=55, age<=900s",-1164.0,436.0,-728.0,-44.0,0.8409090909090909,0.7941176470588235,0.890625,23,1,False,False,0.46153846153846156,-340.0,False
p80_ask90_sec0_touch_preempt_book0.85_touch0.5_ask55_age300,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=55, age<=300s",-873.0,485.0,-388.0,-52.0,0.8181818181818182,0.803921568627451,0.8852459016393442,20,1,False,False,0.5,-281.0,False
p80_ask95_sec120_touch_preempt_book1_touch0.45_ask55_age180,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=1, touch>=0.45, touch_ask<=55, age<=180s",-1488.0,-174.0,-1662.0,-63.0,0.8409090909090909,0.7679738562091504,0.8489583333333334,37,7,False,False,0.38461538461538464,-337.0,False
p80_ask95_sec120_touch_preempt_book0.9_touch0.45_ask55_age180,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.9, touch>=0.45, touch_ask<=55, age<=180s",-1569.0,-110.0,-1679.0,-63.0,0.8409090909090909,0.7679738562091504,0.8541666666666666,35,6,False,False,0.38461538461538464,-337.0,False
p80_ask90_sec0_touch_preempt_book0.9_touch0.45_ask55_age180,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.9, touch>=0.45, touch_ask<=55, age<=180s",-1562.0,-61.0,-1623.0,-74.0,0.8181818181818182,0.7647058823529411,0.8469945355191257,36,6,False,False,0.34615384615384615,-333.0,False
p80_ask90_sec0_touch_preempt_book1_touch0.45_ask55_age180,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=1, touch>=0.45, touch_ask<=55, age<=180s",-1562.0,-61.0,-1623.0,-74.0,0.8181818181818182,0.7647058823529411,0.8469945355191257,36,6,False,False,0.34615384615384615,-333.0,False
p80_ask95_sec120_touch_preempt_book0.85_touch0.5_ask60_age180,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=60, age<=180s",-824.0,299.0,-525.0,-75.0,0.8409090909090909,0.8137254901960784,0.8854166666666666,17,0,False,False,0.4230769230769231,-240.0,False
p80_ask90_sec0_touch_preempt_book0.85_touch0.45_ask55_age180,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.85, touch>=0.45, touch_ask<=55, age<=180s",-1306.0,133.0,-1173.0,-78.0,0.8181818181818182,0.7810457516339869,0.8633879781420765,29,3,False,False,0.38461538461538464,-249.0,False
p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age180,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=1, touch>=0.5, touch_ask<=60, age<=180s",-907.0,299.0,-608.0,-85.0,0.8409090909090909,0.8071895424836601,0.8854166666666666,21,0,False,False,0.4230769230769231,-240.0,False
p80_ask95_sec120_touch_preempt_book0.9_touch0.5_ask55_age300,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.9, touch>=0.5, touch_ask<=55, age<=300s",-1145.0,371.0,-774.0,-109.0,0.8409090909090909,0.7941176470588235,0.8854166666666666,23,2,False,False,0.4230769230769231,-335.0,False
p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age300,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=1, touch>=0.5, touch_ask<=55, age<=300s",-1145.0,307.0,-838.0,-109.0,0.8409090909090909,0.7941176470588235,0.8802083333333334,23,3,False,False,0.4230769230769231,-335.0,False
p80_ask90_sec0_touch_preempt_book0.9_touch0.5_ask55_age300,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.9, touch>=0.5, touch_ask<=55, age<=300s",-1135.0,420.0,-715.0,-117.0,0.8181818181818182,0.7908496732026143,0.8797814207650273,24,2,False,False,0.5,-331.0,False
p80_ask90_sec0_touch_preempt_book1_touch0.5_ask55_age300,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=1, touch>=0.5, touch_ask<=55, age<=300s",-1135.0,420.0,-715.0,-117.0,0.8181818181818182,0.7908496732026143,0.8797814207650273,24,2,False,False,0.5,-331.0,False
p80_ask90_sec0_touch_preempt_book0.85_touch0.5_ask55_age600,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=55, age<=600s",-1078.0,485.0,-593.0,-118.0,0.8181818181818182,0.7941176470588235,0.8852459016393442,23,1,False,False,0.4230769230769231,-281.0,False
p80_ask90_sec0_touch_preempt_book0.85_touch0.5_ask55_age900,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=55, age<=900s",-1220.0,485.0,-735.0,-118.0,0.8181818181818182,0.7875816993464052,0.8852459016393442,25,1,False,False,0.4230769230769231,-336.0,False
p80_ask95_sec120_touch_preempt_book0.85_touch0.45_ask55_age180,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.85, touch>=0.45, touch_ask<=55, age<=180s",-1379.0,84.0,-1295.0,-133.0,0.8409090909090909,0.7810457516339869,0.8697916666666666,29,3,False,False,0.34615384615384615,-255.0,False
p80_ask95_sec120_touch_preempt_book0.9_touch0.5_ask55_age600,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.9, touch>=0.5, touch_ask<=55, age<=600s",-1479.0,371.0,-1108.0,-175.0,0.8409090909090909,0.7777777777777778,0.8854166666666666,28,2,False,False,0.4230769230769231,-401.0,False
p80_ask95_sec120_touch_preempt_book1_touch0.5_ask55_age600,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=1, touch>=0.5, touch_ask<=55, age<=600s",-1479.0,307.0,-1172.0,-175.0,0.8409090909090909,0.7777777777777778,0.8802083333333334,28,3,False,False,0.4230769230769231,-401.0,False
p80_ask90_sec0_touch_preempt_book0.9_touch0.5_ask55_age900,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.9, touch>=0.5, touch_ask<=55, age<=900s",-1867.0,552.0,-1315.0,-178.0,0.8181818181818182,0.7549019607843137,0.8852459016393442,35,3,False,False,0.4230769230769231,-538.0,False
p80_ask90_sec0_touch_preempt_book1_touch0.5_ask55_age900,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=1, touch>=0.5, touch_ask<=55, age<=900s",-1867.0,552.0,-1315.0,-178.0,0.8181818181818182,0.7549019607843137,0.8852459016393442,35,3,False,False,0.4230769230769231,-538.0,False
p80_ask95_sec120_touch_preempt_book0.85_touch0.5_ask60_age300,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=60, age<=300s",-1519.0,288.0,-1231.0,-261.0,0.8409090909090909,0.7745098039215687,0.8802083333333334,35,3,False,False,0.38461538461538464,-348.0,False
p80_ask90_sec0_touch_preempt_book0.85_touch0.5_ask60_age300,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=60, age<=300s",-1509.0,186.0,-1323.0,-269.0,0.8181818181818182,0.7712418300653595,0.8633879781420765,36,5,False,False,0.34615384615384615,-348.0,False
p80_ask90_sec0_touch_preempt_book0.9_touch0.5_ask55_age600,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.9, touch>=0.5, touch_ask<=55, age<=600s",-1596.0,420.0,-1176.0,-310.0,0.8181818181818182,0.7679738562091504,0.8797814207650273,31,2,False,False,0.4230769230769231,-397.0,False
p80_ask90_sec0_touch_preempt_book1_touch0.5_ask55_age600,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=1, touch>=0.5, touch_ask<=55, age<=600s",-1596.0,420.0,-1176.0,-310.0,0.8181818181818182,0.7679738562091504,0.8797814207650273,31,2,False,False,0.4230769230769231,-397.0,False
p80_ask90_sec0_touch_preempt_book0.85_touch0.5_ask70_age180,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=70, age<=180s",-1239.0,-57.0,-1296.0,-411.0,0.8181818181818182,0.7941176470588235,0.8524590163934426,25,5,False,False,0.38461538461538464,-322.0,False
p80_ask95_sec120_touch_preempt_book0.9_touch0.5_ask60_age300,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.9, touch>=0.5, touch_ask<=60, age<=300s",-2366.0,119.0,-2247.0,-415.0,0.8409090909090909,0.7320261437908496,0.859375,50,11,False,False,0.34615384615384615,-437.0,False
p80_ask95_sec120_touch_preempt_book0.85_touch0.5_ask70_age180,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=70, age<=180s",-1312.0,-26.0,-1338.0,-466.0,0.8409090909090909,0.7941176470588235,0.8645833333333334,25,4,False,False,0.34615384615384615,-326.0,False
p80_ask95_sec120_touch_preempt_book1_touch0.5_ask70_age180,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=1, touch>=0.5, touch_ask<=70, age<=180s",-1756.0,120.0,-1636.0,-471.0,0.8409090909090909,0.7712418300653595,0.8645833333333334,36,10,False,False,0.2692307692307692,-405.0,False
p80_ask95_sec120_touch_preempt_book1_touch0.5_ask60_age300,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=1, touch>=0.5, touch_ask<=60, age<=300s",-2299.0,55.0,-2244.0,-481.0,0.8409090909090909,0.7320261437908496,0.8541666666666666,52,12,False,False,0.34615384615384615,-413.0,False
p80_ask90_sec0_touch_preempt_book0.9_touch0.5_ask60_age300,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.9, touch>=0.5, touch_ask<=60, age<=300s",-2298.0,17.0,-2281.0,-494.0,0.8181818181818182,0.7287581699346405,0.8415300546448088,53,13,False,False,0.3076923076923077,-477.0,False
p80_ask90_sec0_touch_preempt_book1_touch0.5_ask60_age300,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=1, touch>=0.5, touch_ask<=60, age<=300s",-2298.0,17.0,-2281.0,-494.0,0.8181818181818182,0.7287581699346405,0.8415300546448088,53,13,False,False,0.3076923076923077,-477.0,False
p80_ask95_sec120_touch_preempt_book0.9_touch0.5_ask70_age180,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.9, touch>=0.5, touch_ask<=70, age<=180s",-1669.0,-13.0,-1682.0,-538.0,0.8409090909090909,0.7777777777777778,0.859375,32,9,False,False,0.2692307692307692,-405.0,False
p80_ask90_sec0_touch_preempt_book0.9_touch0.5_ask70_age180,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.9, touch>=0.5, touch_ask<=70, age<=180s",-1747.0,-44.0,-1791.0,-634.0,0.8181818181818182,0.7712418300653595,0.8469945355191257,34,10,False,False,0.38461538461538464,-401.0,False
p80_ask90_sec0_touch_preempt_book1_touch0.5_ask70_age180,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=1, touch>=0.5, touch_ask<=70, age<=180s",-1747.0,-44.0,-1791.0,-634.0,0.8181818181818182,0.7712418300653595,0.8469945355191257,34,10,False,False,0.38461538461538464,-401.0,False
p80_ask95_sec120_touch_preempt_book0.85_touch0.45_ask55_age300,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.85, touch>=0.45, touch_ask<=55, age<=300s",-2512.0,-216.0,-2728.0,-641.0,0.8409090909090909,0.7189542483660131,0.8385416666666666,54,13,False,False,0.2692307692307692,-537.0,False
p80_ask95_sec120_touch_preempt_book0.85_touch0.5_ask60_age900,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=60, age<=900s",-2423.0,182.0,-2241.0,-646.0,0.8409090909090909,0.7352941176470589,0.8697916666666666,47,7,False,False,0.4230769230769231,-558.0,False
p80_ask95_sec120_touch_preempt_book0.85_touch0.5_ask60_age600,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=60, age<=600s",-2353.0,54.0,-2299.0,-646.0,0.8409090909090909,0.738562091503268,0.8645833333333334,46,6,False,False,0.38461538461538464,-488.0,False
p80_ask90_sec0_touch_preempt_book0.85_touch0.45_ask55_age300,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.85, touch>=0.45, touch_ask<=55, age<=300s",-2372.0,-167.0,-2539.0,-649.0,0.8181818181818182,0.7189542483660131,0.8306010928961749,56,13,False,False,0.34615384615384615,-478.0,False
p80_ask90_sec0_touch_preempt_book0.85_touch0.5_ask60_age600,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=60, age<=600s",-2494.0,-48.0,-2542.0,-805.0,0.8181818181818182,0.7287581699346405,0.8469945355191257,49,8,False,False,0.34615384615384615,-482.0,False
p80_ask90_sec0_touch_preempt_book0.85_touch0.5_ask60_age900,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.85, touch>=0.5, touch_ask<=60, age<=900s",-2564.0,6.0,-2558.0,-805.0,0.8181818181818182,0.7254901960784313,0.8469945355191257,50,10,False,False,0.34615384615384615,-552.0,False
p80_ask95_sec120_touch_preempt_book0.9_touch0.45_ask55_age300,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.9, touch>=0.45, touch_ask<=55, age<=300s",-3656.0,-344.0,-4000.0,-839.0,0.8409090909090909,0.6568627450980392,0.8229166666666666,75,18,False,False,0.19230769230769232,-670.0,False
p80_ask90_sec0_touch_preempt_book0.85_touch0.45_ask60_age180,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.85, touch>=0.45, touch_ask<=60, age<=180s",-2466.0,-244.0,-2710.0,-848.0,0.8181818181818182,0.7320261437908496,0.8360655737704918,44,8,False,False,0.3076923076923077,-363.0,False
p80_ask95_sec120_touch_preempt_book0.85_touch0.45_ask60_age180,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.85, touch>=0.45, touch_ask<=60, age<=180s",-2539.0,-220.0,-2759.0,-903.0,0.8409090909090909,0.7320261437908496,0.8489583333333334,44,7,False,False,0.2692307692307692,-363.0,False
p80_ask95_sec120_touch_preempt_book1_touch0.45_ask55_age300,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=1, touch>=0.45, touch_ask<=55, age<=300s",-3638.0,-472.0,-4110.0,-966.0,0.8409090909090909,0.6535947712418301,0.8125,78,20,False,False,0.19230769230769232,-528.0,False
p80_ask95_sec120_touch_preempt_book0.9_touch0.5_ask60_age900,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.9, touch>=0.5, touch_ask<=60, age<=900s",-3907.0,-140.0,-4047.0,-970.0,0.8409090909090909,0.6601307189542484,0.8333333333333334,74,20,False,False,0.3076923076923077,-697.0,False
p80_ask90_sec0_touch_preempt_book0.9_touch0.45_ask55_age300,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.9, touch>=0.45, touch_ask<=55, age<=300s",-3650.0,-295.0,-3945.0,-981.0,0.8181818181818182,0.6503267973856209,0.8142076502732241,79,18,False,False,0.3076923076923077,-543.0,False
p80_ask90_sec0_touch_preempt_book1_touch0.45_ask55_age300,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=1, touch>=0.45, touch_ask<=55, age<=300s",-3650.0,-295.0,-3945.0,-981.0,0.8181818181818182,0.6503267973856209,0.8142076502732241,79,18,False,False,0.3076923076923077,-543.0,False
p80_ask95_sec120_touch_preempt_book0.85_touch0.45_ask55_age900,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.85, touch>=0.45, touch_ask<=55, age<=900s",-3272.0,-487.0,-3759.0,-982.0,0.8409090909090909,0.673202614379085,0.8177083333333334,74,17,False,False,0.23076923076923078,-813.0,False
p80_ask90_sec0_touch_preempt_book0.85_touch0.35_ask55_age180,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.85, touch>=0.35, touch_ask<=55, age<=180s",-3364.0,-173.0,-3537.0,-988.0,0.8181818181818182,0.6797385620915033,0.8306010928961749,62,13,False,False,0.23076923076923078,-472.0,False
p80_ask90_sec0_touch_preempt_book0.85_touch0.4_ask55_age180,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.85, touch>=0.4, touch_ask<=55, age<=180s",-3364.0,-173.0,-3537.0,-988.0,0.8181818181818182,0.6797385620915033,0.8306010928961749,62,13,False,False,0.23076923076923078,-472.0,False
p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.85, touch>=0.35, touch_ask<=55, age<=180s",-3437.0,-222.0,-3659.0,-1043.0,0.8409090909090909,0.6797385620915033,0.8385416666666666,62,13,False,False,0.15384615384615385,-476.0,False
p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.85, touch>=0.4, touch_ask<=55, age<=180s",-3437.0,-222.0,-3659.0,-1043.0,0.8409090909090909,0.6797385620915033,0.8385416666666666,62,13,False,False,0.15384615384615385,-476.0,False
p80_ask95_sec120_touch_preempt_book0.85_touch0.45_ask55_age600,p80_ask95_sec120,"choose=book_p_side; book_p_side>=0.8; ask<=95; sec_to_close>=120; preempt earlier opposite touch if book<=0.85, touch>=0.45, touch_ask<=55, age<=600s",-3263.0,-487.0,-3750.0,-1045.0,0.8409090909090909,0.6764705882352942,0.8177083333333334,71,17,False,False,0.19230769230769232,-813.0,False
p80_ask90_sec0_touch_preempt_book0.85_touch0.45_ask55_age900,p80_ask90_sec0,"choose=book_p_side; book_p_side>=0.8; ask<=90; sec_to_close>=0; preempt earlier opposite touch if book<=0.85, touch>=0.45, touch_ask<=55, age<=900s",-3203.0,-583.0,-3786.0,-1061.0,0.8181818181818182,0.6699346405228758,0.7978142076502732,77,19,False,False,0.3076923076923077,-605.0,False
